Gooba,6ix9ine,Single,2020,20
Blinding Lights,The Weeknd,After Hours,2020,4
Toosie Slide,Drake,Dark Lane Demo Tapes,2020,3
The Box,Roddy Rich,Please Excuse Me For Being Antisocial,2020,12
Don't Start Now,Dua Lipa,Single,2019,13
Circles,Post Malone,Hollywood's Bleeding,2019,11
Adore You,Harry Styles,Fine Line,2019,14
The Bones,Maren Moris,Girl,2019,19
Roses (Imanbek Remix),SAINt JHN,Single,2019,16
Everything I Wanted,Billie Eilish,Single,2019,15
Time Flies,Drake,Dark Lane Demo Tapes,2020,1
In Your Eyes,The Weeknd,After Hours,2020,2
Hardest To Love,The Weeknd,After Hours,2020,5
Blueberry Fraygo,Lil Mosey,Certified Hitmaker,2020,6
Me and My Guitar,A Boogie wit da Hoodie,Artist 2.0,2020,17
Allergic,Post Malone,Hollywood's Bleeding,2019,7
BOP,DaBaby,KIRK,2019,18
Ransom,Lil Tecca,Single,2019,9
3 Nights,Dominic Fike,"Don’t Forget About Me, Demons - EP",2019,8
War,Drake,Dark Lane Demo Tapes,2020,10
